Fecha "Riesgo País"
2013-02-07T00:00:00Z 705
2013-02-08T00:00:00Z 705
2013-02-09T00:00:00Z 705
2013-02-10T00:00:00Z 705
2013-02-11T00:00:00Z 704
2013-02-12T00:00:00Z 703
2013-02-13T00:00:00Z 699
2013-02-14T00:00:00Z 710
2013-02-15T00:00:00Z 710
2013-02-16T00:00:00Z 710
2013-02-17T00:00:00Z 710
2013-02-18T00:00:00Z 710
2013-02-19T00:00:00Z 700
2013-02-20T00:00:00Z 700
2013-02-21T00:00:00Z 701
2013-02-22T00:00:00Z 702
2013-02-23T00:00:00Z 702
2013-02-24T00:00:00Z 702
2013-02-25T00:00:00Z 704
2013-02-26T00:00:00Z 704
2013-02-27T00:00:00Z 703
2013-02-28T00:00:00Z 704
2013-03-01T00:00:00Z 705
2013-03-02T00:00:00Z 705
2013-03-03T00:00:00Z 705
2013-03-04T00:00:00Z 704
2013-03-05T00:00:00Z 703
2013-03-06T00:00:00Z 701
2013-03-07T00:00:00Z 700
2013-03-08T00:00:00Z 699
2013-03-09T00:00:00Z 699
2013-03-10T00:00:00Z 699
2013-03-11T00:00:00Z 699
2013-03-12T00:00:00Z 699
2013-03-13T00:00:00Z 697
2013-03-14T00:00:00Z 697
2013-03-15T00:00:00Z 698
2013-03-16T00:00:00Z 698
2013-03-17T00:00:00Z 698
2013-03-18T00:00:00Z 699
2013-03-19T00:00:00Z 700
